CustomerID,Gender,Age,TenureMonths,MonthlyCharges,TotalCharges,InternetService,ContractType,PaymentMethod,SupportTickets,LatePayments,Churn
CUST100000,Male,64,63,65.3,3861.28,DSL,Month-to-Month,Bank Transfer,2,5,Yes
CUST100001,Female,64,29,83.06,2795.42,DSL,Two Year,Bank Transfer,3,2,No
CUST100002,Male,21,12,59.44,522.63,No Internet,Month-to-Month,Electronic Check,2,0,No
CUST100003,Male,24,41,126.55,5164.99,No Internet,Month-to-Month,UPI,3,0,No
CUST100004,Male,62,2,69.32,100.0,Fiber Optic,Month-to-Month,Bank Transfer,2,0,Yes
CUST100005,Female,52,37,72.41,2575.57,No Internet,Month-to-Month,Credit Card,3,0,Yes
CUST100006,Male,26,45,20.0,1066.82,DSL,Month-to-Month,Credit Card,3,2,No
CUST100007,Male,25,48,69.14,3529.31,Fiber Optic,Month-to-Month,Electronic Check,4,2,No
CUST100008,Male,62,24,100.09,2533.33,DSL,Month-to-Month,Bank Transfer,2,1,No
CUST100009,Female,34,22,42.97,1138.94,DSL,Month-to-Month,Credit Card,1,2,Yes
CUST100010,Male,34,11,52.48,472.03,No Internet,Month-to-Month,Bank Transfer,3,0,Yes
CUST100011,Male,50,58,98.78,5510.04,Fiber Optic,Month-to-Month,Credit Card,1,4,Yes
CUST100012,Male,49,46,30.7,1262.37,DSL,One Year,Electronic Check,0,1,No
CUST100013,Male,25,29,106.73,3181.38,Fiber Optic,One Year,Credit Card,1,2,No
CUST100014,Female,36,35,59.04,2309.79,Fiber Optic,Month-to-Month,Bank Transfer,1,1,Yes
CUST100015,Male,55,15,63.34,703.18,Fiber Optic,One Year,Bank Transfer,4,2,No
CUST100016,Female,20,60,41.28,2405.73,DSL,Two Year,Electronic Check,3,2,No
CUST100017,Female,22,42,86.34,3571.68,DSL,Two Year,UPI,0,1,No
CUST100018,Female,30,43,148.8,6243.79,Fiber Optic,Month-to-Month,Bank Transfer,3,3,No
CUST100019,Male,64,49,98.44,4942.93,DSL,One Year,UPI,0,1,No
CUST100020,Female,63,64,49.07,3340.2,Fiber Optic,Month-to-Month,Bank Transfer,2,1,Yes
CUST100021,Male,48,32,109.07,3980.83,Fiber Optic,Month-to-Month,Electronic Check,0,2,No
CUST100022,Female,33,64,65.5,4586.99,DSL,Month-to-Month,Credit Card,1,0,No
CUST100023,Female,49,2,116.23,390.47,Fiber Optic,Month-to-Month,UPI,4,1,Yes
CUST100024,Female,39,24,99.2,2288.85,DSL,Month-to-Month,Credit Card,2,0,No
CUST100025,Female,46,66,20.0,1461.39,Fiber Optic,One Year,Electronic Check,2,2,No
CUST100026,Female,39,38,44.88,1314.45,Fiber Optic,One Year,Electronic Check,6,2,No
CUST100027,Female,60,31,103.33,3335.49,DSL,Month-to-Month,Electronic Check,4,4,No
CUST100028,Female,20,26,79.55,2141.43,DSL,Month-to-Month,Bank Transfer,2,4,Yes
CUST100029,Female,27,29,44.29,1299.79,Fiber Optic,Month-to-Month,Bank Transfer,2,1,Yes
CUST100030,Male,59,67,55.99,3595.01,DSL,Month-to-Month,Bank Transfer,2,3,No
CUST100031,Male,38,25,20.0,658.78,DSL,Two Year,Bank Transfer,5,1,No
CUST100032,Female,33,48,72.35,3274.87,DSL,One Year,UPI,3,1,No
CUST100033,Female,29,65,141.32,9396.85,Fiber Optic,Two Year,Electronic Check,1,2,No
CUST100034,Female,19,53,99.15,5375.14,DSL,One Year,UPI,3,2,No
CUST100035,Male,58,67,140.71,9513.46,DSL,Month-to-Month,Bank Transfer,1,4,No
CUST100036,Female,41,18,101.47,1629.66,Fiber Optic,Month-to-Month,Credit Card,3,1,Yes
CUST100037,Male,52,9,105.82,821.93,No Internet,Month-to-Month,UPI,3,2,Yes
CUST100038,Male,47,38,134.22,4802.95,No Internet,Month-to-Month,Credit Card,1,0,Yes
CUST100039,Male,47,21,86.32,1980.76,No Internet,Two Year,Bank Transfer,0,1,No
CUST100040,Male,64,65,69.38,4516.96,DSL,Month-to-Month,UPI,2,2,No
CUST100041,Male,52,21,105.98,2118.09,DSL,Month-to-Month,UPI,4,0,No
